genes_names	tAI
00060	0.24815224866468
00090	0.257326991194545
00100	0.246625237370041
00140	0.261094182978897
00170	0.235697719875801
00200	0.294738845204278
00250	0.223965058724837
00350	0.2129170495864
00370	0.287454165356241
00430	0.206055365635321
00450	0.24208755498162
00490	0.23878269229029
00520	0.225393295271288
00560	0.233473348243093
00570	0.195917724730915
00630	0.270403366145728
00660	0.204120160649723
00710	0.244692449507463
00720	0.249045508191593
00760	0.212068366228071
00890	0.203048465793781
00920	0.243425966732938
01180	0.289299620438499
01190	0.255013236982626
01220	0.25160612806251
01340	0.252200432848728
01440	0.276672545630154
01690	0.225803801479848
01700	0.277967706610073
01730	0.229131788127804
01740	0.214317738914066
01770	0.242704293352069
01780	0.247211485138409
01810	0.225316182137001
01830	0.20045765679517
01870	0.24082848135726
01900	0.207366290296879
01910	0.173363906813348
02030	0.241631280854193
02270	0.19291387253402
02300	0.245824053632042
02320	0.220308971308959
02340	0.221819100096304
02420	0.22606230201556
02520	0.208500442553208
02530	0.226265179359121
02560	0.223027343167979
02610	0.208778503823197
02740	0.212507343213578
02760	0.208776521611087
02840	0.217431725498477
02880	0.229599819351129
02900	0.278644653273777
02940	0.229837117238839
02950	0.192663560201938
02960	0.206768920982124
02970	0.261014548311107
02980	0.231948714693804
03030	0.202664851638421
03120	0.181615931132513
03240	0.231523938043053
03250	0.201686049413085
03260	0.22585561507545
03280	0.229600986397502
03290	0.294741783778089
03470	0.220109970761732
03540	0.244512925102744
03590	0.211150360451247
03600	0.205356074660681
03770	0.247709314316607
03800	0.210048167229338
03870	0.287349772116294
03900	0.222693562575402
03982	0.278039504727092
04000	0.215489074551983
04060	0.21202358338511
04070	0.183344335708776
04110	0.230628225351325
04130	0.203567530536856
04150	0.207701570496196
04210	0.229931635859696
04250	0.23790812301658
04260	0.226392787060891
04270	0.212840393843739
04290	0.216265172362563
04320	0.198581588850457
04330	0.208567057844403
04410	0.237030731584499
04540	0.213304185040672
04590	0.189700952036303
04680	0.219921433324566
04690	0.242391924923359
04730	0.231487812953942
04760	0.231229095387894
04920	0.234043617022946
05030	0.228614608927208
05080	0.269650077261346
05109	0.230867799426129
05130	0.250216101680837
05170	0.249740299275769
05220	0.235365332865631
05330	0.229380252737139
05350	0.234121637057726
05510	0.224256275009938
05670	0.227621932636351
05720	0.22787639949198
05760	0.237315565517709
05830	0.198636422502092
05920	0.209488348419135
06220	0.21401073389011
06250	0.214877776903259
06280	0.225548215356356
06430	0.213454221017366
06470	0.229023912250632
06600	0.217945485050981
06720	0.228522518716076
06900	0.207111563552137
06970	0.210823785842794
07130	0.213728848093427
07430	0.207486173913033
07440	0.234652550313873
07460	0.197724226146537
07560	0.229994942839468
07580	0.200980630951586
07590	0.202405302895402
07670	0.251389186558101
07780	0.220911263096722
07850	0.231952505181556
07940	0.236782105135982
07980	0.214271092191939
